(1, 1, 3, 4)
(2, 1, 13, 14)
(3, 2, 11, 12)
(4, 1, 11, 14)
(5, 4, 11, 13)
(6, 2, 8, 10)
(7, 5, 11, 13)
(8, 1, 10, 9)
(9, 2, 10, 10)
(10, 3, 4, 5)
(11, 5, 1, 2)
(12, 3, 9, 10)
(13, 7, 2, 4)
(14, 3, 11, 13)
(15, 2, 6, 9)
(16, 4, 6, 7)
(17, 1, 11, 13)
(18, 5, 3, 5)
(19, 5, 6, 7)
(20, 2, 3, 4)
(21, 1, 13, 13)
(22, 6, 1, 8)
(23, 4, 3, 5)
(24, 4, 11, 12)
(25, 6, 6, 7)
(26, 5, 8, 10)
(27, 7, 11, 12)
(28, 7, 1, 8)
(29, 1, 1, 2)
(30, 2, 8, 9)
(31, 5, 11, 12)
(32, 1, 6, 7)
(33, 6, 11, 12)
(34, 4, 8, 10)
(35, 7, 6, 7)
(36, 4, 1, 4)
(37, 2, 5, 4)
(38, 3, 1, 2)
(39, 1, 6, 10)
(40, 1, 8, 10)
(41, 2, 6, 8)
(42, 5, 1, 4)
(43, 1, 3, 5)
(44, 1, 11, 12)
(45, 5, 3, 4)
(46, 3, 11, 12)
(47, 4, 6, 9)
(48, 2, 3, 3)
(49, 3, 6, 7)
(50, 5, 6, 6)
(51, 6, 1, 4)
(52, 5, 6, 9)
(53, 2, 11, 13)
(54, 4, 3, 4)
(55, 5, 8, 9)
(56, 7, 1, 4)
(57, 4, 11, 14)
(58, 1, 10, 10)
(59, 2, 8, 8)
(60, 4, 13, 14)
(61, 6, 6, 9)
(62, 5, 11, 14)
(63, 4, 8, 9)
(64, 7, 11, 14)
(65, 5, 13, 14)
(66, 7, 6, 9)
(67, 6, 11, 14)
(68, 6, 3, 4)
(69, 2, 13, 13)
(70, 2, 6, 7)
(71, 1, 6, 9)
(72, 3, 3, 4)
(73, 1, 8, 9)
